Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
552;GDDY;GoDaddy Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US3802371076;;1,00;0,01000;USD;04.04.2019 0:00:00
553;GDOT;Green Dot Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US39304D1028;;1,00;0,01000;USD;28.02.2019 0:00:00
554;GE;General Electric Company;Акции;Акции иностранного эмитента обыкновенные;;US3696041033;ESVUFR;1,00;0,01000;USD;28.11.2014 0:00:00
555;GEF;Greif, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US3976241071;;1,00;0,01000;USD;28.02.2019 0:00:00
556;GGG;Graco Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3841091040;;1,00;0,01000;USD;18.05.2020 0:00:00
557;GH;Guardant Health, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US40131M1099;;1,00;0,01000;USD;05.08.2019 0:00:00
558;GHC;Graham Holdings Company;Акции;Акции иностранного эмитента обыкновенные класса B;;US3846371041;;1,00;0,01000;USD;28.02.2019 0:00:00
559;GILD;GILEAD SCIENCES, INC.;Акции;Акции иностранного эмитента обыкновенные;;US3755581036;ESVUFR;1,00;0,01000;USD;28.11.2014 0:00:00
560;GIS;General Mills, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3703341046;;1,00;0,01000;USD;01.06.2017 0:00:00
561;GKOS;Glaukos Corporation;Акции;Акции иностранного эмитента обыкновенные;;US3773221029;;1,00;0,01000;USD;31.10.2019 0:00:00
562;GL;Globe Life Inc.;Акции;Акции иностранного эмитента обыкновенные;;US37959E1029;;1,00;0,01000;USD;31.08.2017 0:00:00
563;GLPI;Gaming and Leisure Properties, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US36467J1088;;1,00;0,01000;USD;04.12.2020 0:00:00
564;GLW;Corning Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US2193501051;;1,00;0,01000;USD;18.05.2017 0:00:00
565;GM;General Motors Company;Акции;Акции иностранного эмитента обыкновенные;;US37045V1008;;1,00;0,01000;USD;19.10.2016 0:00:00
566;GMED;Globus Medical, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US3795772082;;1,00;0,01000;USD;28.02.2019 0:00:00
567;GMS;GMS Inc.;Акции;Акции иностранного эмитента обыкновенные;;US36251C1036;;1,00;0,01000;USD;05.08.2019 0:00:00
568;GNL;Global Net Lease, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US3793782018;ESVUFR;1,00;0,01000;USD;21.01.2020 0:00:00
